State,Count_Notification,Diagnosis_Year,LAT,LONG
ACT,0,1991,-35.4883502,149.0026942
ACT,0,1992,-35.4883502,149.0026942
ACT,0,1993,-35.4883502,149.0026942
ACT,1,1994,-35.4883502,149.0026942
ACT,0,1995,-35.4883502,149.0026942
ACT,0,1996,-35.4883502,149.0026942
ACT,0,1997,-35.4883502,149.0026942
ACT,0,1998,-35.4883502,149.0026942
ACT,0,1999,-35.4883502,149.0026942
ACT,1,2000,-35.4883502,149.0026942
ACT,0,2001,-35.4883502,149.0026942
ACT,0,2002,-35.4883502,149.0026942
ACT,0,2003,-35.4883502,149.0026942
ACT,0,2004,-35.4883502,149.0026942
ACT,0,2005,-35.4883502,149.0026942
ACT,0,2006,-35.4883502,149.0026942
ACT,0,2007,-35.4883502,149.0026942
ACT,0,2008,-35.4883502,149.0026942
ACT,2,2009,-35.4883502,149.0026942
ACT,1,2010,-35.4883502,149.0026942
ACT,1,2011,-35.4883502,149.0026942
ACT,0,2012,-35.4883502,149.0026942
ACT,0,2013,-35.4883502,149.0026942
ACT,0,2014,-35.4883502,149.0026942
ACT,1,2015,-35.4883502,149.0026942
ACT,0,2016,-35.4883502,149.0026942
ACT,0,2017,-35.4883502,149.0026942
ACT,0,2018,-35.4883502,149.0026942
ACT,0,2019,-35.4883502,149.0026942
ACT,0,2020,-35.4883502,149.0026942
ACT,0,2021,-35.4883502,149.0026942
ACT,1,2022,-35.4883502,149.0026942
ACT,0,2023,-35.4883502,149.0026942
ACT,1,2024,-35.4883502,149.0026942
NSW,28,1991,-31.8759835,147.2869493
NSW,21,1992,-31.8759835,147.2869493
NSW,16,1993,-31.8759835,147.2869493
NSW,14,1994,-31.8759835,147.2869493
NSW,6,1995,-31.8759835,147.2869493
NSW,33,1996,-31.8759835,147.2869493
NSW,33,1997,-31.8759835,147.2869493
NSW,49,1998,-31.8759835,147.2869493
NSW,57,1999,-31.8759835,147.2869493
NSW,53,2000,-31.8759835,147.2869493
NSW,66,2001,-31.8759835,147.2869493
NSW,39,2002,-31.8759835,147.2869493
NSW,39,2003,-31.8759835,147.2869493
NSW,40,2004,-31.8759835,147.2869493
NSW,35,2005,-31.8759835,147.2869493
NSW,17,2006,-31.8759835,147.2869493
NSW,9,2007,-31.8759835,147.2869493
NSW,17,2008,-31.8759835,147.2869493
NSW,18,2009,-31.8759835,147.2869493
NSW,22,2010,-31.8759835,147.2869493
NSW,40,2011,-31.8759835,147.2869493
NSW,22,2012,-31.8759835,147.2869493
NSW,12,2013,-31.8759835,147.2869493
NSW,14,2014,-31.8759835,147.2869493
NSW,17,2015,-31.8759835,147.2869493
NSW,14,2016,-31.8759835,147.2869493
NSW,20,2017,-31.8759835,147.2869493
NSW,58,2018,-31.8759835,147.2869493
NSW,11,2019,-31.8759835,147.2869493
NSW,12,2020,-31.8759835,147.2869493
NSW,94,2021,-31.8759835,147.2869493
NSW,44,2022,-31.8759835,147.2869493
NSW,28,2023,-31.8759835,147.2869493
NSW,17,2024,-31.8759835,147.2869493
NT,0,1991,-19.8516101,133.2303375
NT,1,1992,-19.8516101,133.2303375
NT,1,1993,-19.8516101,133.2303375
NT,2,1994,-19.8516101,133.2303375
NT,0,1995,-19.8516101,133.2303375
NT,0,1996,-19.8516101,133.2303375
NT,1,1997,-19.8516101,133.2303375
NT,3,1998,-19.8516101,133.2303375
NT,1,1999,-19.8516101,133.2303375
NT,9,2000,-19.8516101,133.2303375
NT,4,2001,-19.8516101,133.2303375
NT,3,2002,-19.8516101,133.2303375
NT,4,2003,-19.8516101,133.2303375
NT,2,2004,-19.8516101,133.2303375
NT,5,2005,-19.8516101,133.2303375
NT,2,2006,-19.8516101,133.2303375
NT,1,2007,-19.8516101,133.2303375
NT,1,2008,-19.8516101,133.2303375
NT,4,2009,-19.8516101,133.2303375
NT,2,2010,-19.8516101,133.2303375
NT,2,2011,-19.8516101,133.2303375
NT,1,2012,-19.8516101,133.2303375
NT,4,2013,-19.8516101,133.2303375
NT,2,2014,-19.8516101,133.2303375
NT,4,2015,-19.8516101,133.2303375
NT,1,2016,-19.8516101,133.2303375
NT,14,2017,-19.8516101,133.2303375
NT,7,2018,-19.8516101,133.2303375
NT,3,2019,-19.8516101,133.2303375
NT,3,2020,-19.8516101,133.2303375
NT,14,2021,-19.8516101,133.2303375
NT,11,2022,-19.8516101,133.2303375
NT,8,2023,-19.8516101,133.2303375
NT,6,2024,-19.8516101,133.2303375
QLD,41,1991,-22.1646782,144.5844903
QLD,34,1992,-22.1646782,144.5844903
QLD,52,1993,-22.1646782,144.5844903
QLD,56,1994,-22.1646782,144.5844903
QLD,59,1995,-22.1646782,144.5844903
QLD,108,1996,-22.1646782,144.5844903
QLD,44,1997,-22.1646782,144.5844903
QLD,110,1998,-22.1646782,144.5844903
QLD,220,1999,-22.1646782,144.5844903
QLD,133,2000,-22.1646782,144.5844903
QLD,127,2001,-22.1646782,144.5844903
QLD,94,2002,-22.1646782,144.5844903
QLD,69,2003,-22.1646782,144.5844903
QLD,121,2004,-22.1646782,144.5844903
QLD,71,2005,-22.1646782,144.5844903
QLD,115,2006,-22.1646782,144.5844903
QLD,76,2007,-22.1646782,144.5844903
QLD,88,2008,-22.1646782,144.5844903
QLD,105,2009,-22.1646782,144.5844903
QLD,86,2010,-22.1646782,144.5844903
QLD,155,2011,-22.1646782,144.5844903
QLD,64,2012,-22.1646782,144.5844903
QLD,58,2013,-22.1646782,144.5844903
QLD,55,2014,-22.1646782,144.5844903
QLD,40,2015,-22.1646782,144.5844903
QLD,90,2016,-22.1646782,144.5844903
QLD,92,2017,-22.1646782,144.5844903
QLD,56,2018,-22.1646782,144.5844903
QLD,47,2019,-22.1646782,144.5844903
QLD,64,2020,-22.1646782,144.5844903
QLD,122,2021,-22.1646782,144.5844903
QLD,119,2022,-22.1646782,144.5844903
QLD,87,2023,-22.1646782,144.5844903
QLD,68,2024,-22.1646782,144.5844903
SA,5,1991,-30.5343665,135.6301212
SA,9,1992,-30.5343665,135.6301212
SA,5,1993,-30.5343665,135.6301212
SA,6,1994,-30.5343665,135.6301212
SA,6,1995,-30.5343665,135.6301212
SA,1,1996,-30.5343665,135.6301212
SA,2,1997,-30.5343665,135.6301212
SA,1,1998,-30.5343665,135.6301212
SA,3,1999,-30.5343665,135.6301212
SA,8,2000,-30.5343665,135.6301212
SA,3,2001,-30.5343665,135.6301212
SA,2,2002,-30.5343665,135.6301212
SA,2,2003,-30.5343665,135.6301212
SA,1,2004,-30.5343665,135.6301212
SA,3,2005,-30.5343665,135.6301212
SA,1,2006,-30.5343665,135.6301212
SA,1,2007,-30.5343665,135.6301212
SA,0,2008,-30.5343665,135.6301212
SA,0,2009,-30.5343665,135.6301212
SA,2,2010,-30.5343665,135.6301212
SA,2,2011,-30.5343665,135.6301212
SA,2,2012,-30.5343665,135.6301212
SA,2,2013,-30.5343665,135.6301212
SA,1,2014,-30.5343665,135.6301212
SA,0,2015,-30.5343665,135.6301212
SA,2,2016,-30.5343665,135.6301212
SA,1,2017,-30.5343665,135.6301212
SA,0,2018,-30.5343665,135.6301212
SA,3,2019,-30.5343665,135.6301212
SA,1,2020,-30.5343665,135.6301212
SA,0,2021,-30.5343665,135.6301212
SA,4,2022,-30.5343665,135.6301212
SA,1,2023,-30.5343665,135.6301212
SA,3,2024,-30.5343665,135.6301212
TAS,3,1991,-42.035067,146.6366887
TAS,4,1992,-42.035067,146.6366887
TAS,10,1993,-42.035067,146.6366887
TAS,2,1994,-42.035067,146.6366887
TAS,6,1995,-42.035067,146.6366887
TAS,6,1996,-42.035067,146.6366887
TAS,2,1997,-42.035067,146.6366887
TAS,1,1998,-42.035067,146.6366887
TAS,1,1999,-42.035067,146.6366887
TAS,0,2000,-42.035067,146.6366887
TAS,5,2001,-42.035067,146.6366887
TAS,2,2002,-42.035067,146.6366887
TAS,0,2003,-42.035067,146.6366887
TAS,0,2004,-42.035067,146.6366887
TAS,0,2005,-42.035067,146.6366887
TAS,1,2006,-42.035067,146.6366887
TAS,0,2007,-42.035067,146.6366887
TAS,0,2008,-42.035067,146.6366887
TAS,0,2009,-42.035067,146.6366887
TAS,1,2010,-42.035067,146.6366887
TAS,1,2011,-42.035067,146.6366887
TAS,0,2012,-42.035067,146.6366887
TAS,0,2013,-42.035067,146.6366887
TAS,1,2014,-42.035067,146.6366887
TAS,2,2015,-42.035067,146.6366887
TAS,1,2016,-42.035067,146.6366887
TAS,0,2017,-42.035067,146.6366887
TAS,0,2018,-42.035067,146.6366887
TAS,0,2019,-42.035067,146.6366887
TAS,2,2020,-42.035067,146.6366887
TAS,0,2021,-42.035067,146.6366887
TAS,1,2022,-42.035067,146.6366887
TAS,0,2023,-42.035067,146.6366887
TAS,1,2024,-42.035067,146.6366887
VIC,92,1991,-36.5986096,144.6780052
VIC,76,1992,-36.5986096,144.6780052
VIC,60,1993,-36.5986096,144.6780052
VIC,31,1994,-36.5986096,144.6780052
VIC,54,1995,-36.5986096,144.6780052
VIC,55,1996,-36.5986096,144.6780052
VIC,21,1997,-36.5986096,144.6780052
VIC,18,1998,-36.5986096,144.6780052
VIC,28,1999,-36.5986096,144.6780052
VIC,36,2000,-36.5986096,144.6780052
VIC,37,2001,-36.5986096,144.6780052
VIC,18,2002,-36.5986096,144.6780052
VIC,8,2003,-36.5986096,144.6780052
VIC,8,2004,-36.5986096,144.6780052
VIC,10,2005,-36.5986096,144.6780052
VIC,5,2006,-36.5986096,144.6780052
VIC,16,2007,-36.5986096,144.6780052
VIC,4,2008,-36.5986096,144.6780052
VIC,11,2009,-36.5986096,144.6780052
VIC,14,2010,-36.5986096,144.6780052
VIC,10,2011,-36.5986096,144.6780052
VIC,13,2012,-36.5986096,144.6780052
VIC,9,2013,-36.5986096,144.6780052
VIC,7,2014,-36.5986096,144.6780052
VIC,7,2015,-36.5986096,144.6780052
VIC,16,2016,-36.5986096,144.6780052
VIC,14,2017,-36.5986096,144.6780052
VIC,17,2018,-36.5986096,144.6780052
VIC,13,2019,-36.5986096,144.6780052
VIC,5,2020,-36.5986096,144.6780052
VIC,13,2021,-36.5986096,144.6780052
VIC,17,2022,-36.5986096,144.6780052
VIC,9,2023,-36.5986096,144.6780052
VIC,6,2024,-36.5986096,144.6780052
WA,3,1991,-25.2303005,121.0187246
WA,5,1992,-25.2303005,121.0187246
WA,9,1993,-25.2303005,121.0187246
WA,1,1994,-25.2303005,121.0187246
WA,5,1995,-25.2303005,121.0187246
WA,2,1996,-25.2303005,121.0187246
WA,7,1997,-25.2303005,121.0187246
WA,9,1998,-25.2303005,121.0187246
WA,9,1999,-25.2303005,121.0187246
WA,4,2000,-25.2303005,121.0187246
WA,2,2001,-25.2303005,121.0187246
WA,2,2002,-25.2303005,121.0187246
WA,6,2003,-25.2303005,121.0187246
WA,5,2004,-25.2303005,121.0187246
WA,5,2005,-25.2303005,121.0187246
WA,3,2006,-25.2303005,121.0187246
WA,5,2007,-25.2303005,121.0187246
WA,1,2008,-25.2303005,121.0187246
WA,1,2009,-25.2303005,121.0187246
WA,5,2010,-25.2303005,121.0187246
WA,3,2011,-25.2303005,121.0187246
WA,3,2012,-25.2303005,121.0187246
WA,0,2013,-25.2303005,121.0187246
WA,3,2014,-25.2303005,121.0187246
WA,1,2015,-25.2303005,121.0187246
WA,6,2016,-25.2303005,121.0187246
WA,3,2017,-25.2303005,121.0187246
WA,5,2018,-25.2303005,121.0187246
WA,4,2019,-25.2303005,121.0187246
WA,3,2020,-25.2303005,121.0187246
WA,4,2021,-25.2303005,121.0187246
WA,1,2022,-25.2303005,121.0187246
WA,8,2023,-25.2303005,121.0187246
WA,0,2024,-25.2303005,121.0187246
